원문명칭,데이터구분,탄소계수_KRW
"Insurance and pension funding, except compulsory social security (66)",산업(ixi),0.00014753
Intert/metal waste for treatment: incineration,제품(pxp),0.00046797
Iron ores,제품(pxp),0.00060371
Kerosene,제품(pxp),0.00115865
Kerosene Type Jet Fuel,제품(pxp),0.00111546
Landfill of waste: Food,산업(ixi),0.0
Landfill of waste: Inert/metal/hazardous,산업(ixi),0.0
Landfill of waste: Paper,산업(ixi),0.0
Landfill of waste: Plastic,산업(ixi),0.0
Landfill of waste: Textiles,산업(ixi),0.0
Landfill of waste: Wood,산업(ixi),0.0
"Lead, zinc and tin and products thereof",제품(pxp),0.00095823
"Lead, zinc and tin ores and concentrates",제품(pxp),0.00060596
"Lead, zinc and tin production",산업(ixi),0.00097958
Leather and leather products (19),제품(pxp),0.00036779
Lignite/Brown Coal,제품(pxp),0.00063594
Liquefied Petroleum Gases (LPG),제품(pxp),0.00094075
Lubricants,제품(pxp),0.00099833
Machinery and equipment n.e.c. (29),제품(pxp),0.00049102
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,산업(ixi),0.0007969
Manufacture of beverages,산업(ixi),0.00077904
"Manufacture of bricks, tiles and construction products, in baked clay",산업(ixi),0.00118595
"Manufacture of cement, lime and plaster",산업(ixi),0.00342445
Manufacture of ceramic goods,산업(ixi),0.00063547
Manufacture of coke oven products,산업(ixi),0.01041949
Manufacture of electrical machinery and apparatus n.e.c. (31),산업(ixi),0.00022021
"Manufacture of fabricated metal products, except machinery and equipment (28)",산업(ixi),0.00037135
Manufacture of fish products,산업(ixi),0.0006251
Manufacture of furniture; manufacturing n.e.c. (36),산업(ixi),0.00027866
Manufacture of gas; distribution of gaseous fuels through mains,산업(ixi),0.01123846
Manufacture of glass and glass products,산업(ixi),0.00044978
Manufacture of machinery and equipment n.e.c. (29),산업(ixi),0.00050822
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",산업(ixi),0.00018433
"Manufacture of motor vehicles, trailers and semi-trailers (34)",산업(ixi),0.00026908
Manufacture of office machinery and computers (30),산업(ixi),0.00046624
Manufacture of other non-metallic mineral products n.e.c.,산업(ixi),0.00107613
Manufacture of other transport equipment (35),산업(ixi),0.00040823
"Manufacture of radio, television and communication equipment and apparatus (32)",산업(ixi),0.00017121
Manufacture of rubber and plastic products (25),산업(ixi),0.00054675
Manufacture of textiles (17),산업(ixi),0.00028613
Manufacture of tobacco products (16),산업(ixi),0.00017877
Manufacture of wearing apparel; dressing and dyeing of fur (18),산업(ixi),0.00019416
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",산업(ixi),0.00048789
Manure (biogas treatment),제품(pxp),0.0
Manure (conventional treatment),제품(pxp),0.0
"Manure treatment (biogas), storage and land application",산업(ixi),0.0
"Manure treatment (conventional), storage and land application",산업(ixi),0.0
Meat animals nec,산업(ixi),0.00067786
Meat animals nec,제품(pxp),0.00065773
Meat products nec,제품(pxp),0.00040343
"Medical, precision and optical instruments, watches and clocks (33)",제품(pxp),0.00028408
Membership organisation services n.e.c. (91),제품(pxp),0.00023709
Mining of aluminium ores and concentrates,산업(ixi),0.0
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",산업(ixi),0.0005645
Mining of coal and lignite; extraction of peat (10),산업(ixi),0.00277979
Mining of copper ores and concentrates,산업(ixi),0.00021967
Mining of iron ores,산업(ixi),0.00188135
"Mining of lead, zinc and tin ores and concentrates",산업(ixi),0.00300283
Mining of nickel ores and concentrates,산업(ixi),0.00102586
Mining of other non-ferrous metal ores and concentrates,산업(ixi),0.0009977
Mining of precious metal ores and concentrates,산업(ixi),0.00117938
Mining of uranium and thorium ores (12),산업(ixi),0.0
Motor Gasoline,제품(pxp),0.00078378
"Motor vehicles, trailers and semi-trailers (34)",제품(pxp),0.00027432
N-fertiliser,산업(ixi),0.0016509
N-fertiliser,제품(pxp),0.00054835
Naphtha,제품(pxp),0.00114174
Natural Gas Liquids,제품(pxp),0.00084973
"Natural gas and services related to natural gas extraction, excluding surveying",제품(pxp),0.01039134
Nickel ores and concentrates,제품(pxp),0.00102587
Non-specified Petroleum Products,제품(pxp),0.00090186
Nuclear fuel,제품(pxp),0.00083799
Office machinery and computers (30),제품(pxp),0.00046542
Oil seeds,제품(pxp),0.00031475
Oil/hazardous waste for treatment: incineration,제품(pxp),0.0005966
Other Bituminous Coal,제품(pxp),0.0006349
Other Hydrocarbons,제품(pxp),0.0006366
Other Liquid Biofuels,제품(pxp),0.00070264
Other business activities (74),산업(ixi),0.00016519
Other business services (74),제품(pxp),0.000166
Other land transport,산업(ixi),0.00018379
Other land transportation services,제품(pxp),0.00018408
Other non-ferrous metal ores and concentrates,제품(pxp),0.00099766
Other non-ferrous metal production,산업(ixi),0.001021
Other non-ferrous metal products,제품(pxp),0.00090919
Other non-metallic mineral products,제품(pxp),0.0010627
Other service activities (93),산업(ixi),0.00024795
Other services (93),제품(pxp),0.00024585
Other transport equipment (35),제품(pxp),0.00041214
Other waste for treatment: waste water treatment,제품(pxp),0.01054639
Oxygen Steel Furnace Gas,제품(pxp),0.00080295
P- and other fertiliser,산업(ixi),0.00054563
P- and other fertiliser,제품(pxp),0.00056014
Paddy rice,제품(pxp),0.00111096
Paper,산업(ixi),0.00045443
Paper and paper products,제품(pxp),0.00045765
Paper and wood waste for treatment: composting and land application,제품(pxp),0.00014348
Paper for treatment: landfill,제품(pxp),0.00025596
Paper waste for treatment: biogasification and land application,제품(pxp),0.00014102
Paper waste for treatment: incineration,제품(pxp),0.01095861
Paraffin Waxes,제품(pxp),0.00086032
Patent Fuel,제품(pxp),0.0027798
Peat,제품(pxp),0.00084983
Petroleum Coke,제품(pxp),0.00090372
Petroleum Refinery,산업(ixi),0.0011691
Pigs,제품(pxp),0.00041944
Pigs farming,산업(ixi),0.00041945
Plant-based fibers,제품(pxp),0.00033636
Plastic waste for treatment: incineration,제품(pxp),0.00209146
Plastic waste for treatment: landfill,제품(pxp),0.00015926
"Plastics, basic",산업(ixi),0.00085028
"Plastics, basic",제품(pxp),0.00087765
Post and telecommunication services (64),제품(pxp),0.00011346
Post and telecommunications (64),산업(ixi),0.00011346
Poultry,제품(pxp),0.00056791
Poultry farming,산업(ixi),0.00056796
Precious metal ores and concentrates,제품(pxp),0.00117891
Precious metals,제품(pxp),0.00041342
Precious metals production,산업(ixi),0.00042287
Printed matter and recorded media (22),제품(pxp),0.00035204
Private households with employed persons (95),산업(ixi),0.00796046
Private households with employed persons (95),제품(pxp),0.00796046
Processed rice,산업(ixi),0.00065032
Processed rice,제품(pxp),0.00037289
Processing of Food products nec,산업(ixi),0.00046256
Processing of dairy products,산업(ixi),0.00043948
Processing of meat cattle,산업(ixi),0.00155291
Processing of meat pigs,산업(ixi),0.00033536
Processing of meat poultry,산업(ixi),0.00057139
Processing of nuclear fuel,산업(ixi),0.00051894
Processing vegetable oils and fats,산업(ixi),0.00024717
Production of electricity by Geothermal,산업(ixi),0.0
Production of electricity by biomass and waste,산업(ixi),0.00045931
Production of electricity by coal,산업(ixi),0.01102163
Production of electricity by gas,산업(ixi),0.00467946
Production of electricity by hydro,산업(ixi),0.00019425
Production of electricity by nuclear,산업(ixi),0.00019563
Production of electricity by petroleum and other oil derivatives,산업(ixi),0.00209398
Production of electricity by solar photovoltaic,산업(ixi),4.726e-05
Production of electricity by solar thermal,산업(ixi),0.0
"Production of electricity by tide, wave, ocean",산업(ixi),0.00020092
Production of electricity by wind,산업(ixi),0.00016389
Production of electricity nec,산업(ixi),0.0001566
Production of meat products nec,산업(ixi),0.00042485
"Products of forestry, logging and related services (02)",제품(pxp),0.00016488
Products of meat cattle,제품(pxp),0.00152961
Products of meat pigs,제품(pxp),0.00033599
Products of meat poultry,제품(pxp),0.00055707
Public administration and defence services; compulsory social security services (75),제품(pxp),0.00015035
Public administration and defence; compulsory social security (75),산업(ixi),0.00015035
"Publishing, printing and reproduction of recorded media (22)",산업(ixi),0.00035429
Pulp,산업(ixi),0.00079834
Pulp,제품(pxp),0.00074321
Quarrying of sand and clay,산업(ixi),0.00091592
Quarrying of stone,산업(ixi),0.00063095
